ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
SBAC,198.9200,0.320785,-0.070399,-0.037391,0.025166,0.079450,0.106112,0.137905,19862.43,26527.88,34476.26,0.033458,-0.024791,0.393203,0.348448
GNRC,230.3800,0.602046,-0.069445,0.009843,0.052131,0.152215,0.204973,0.269377,38053.79,51243.25,67344.25,0.632743,1.034800,0.161531,0.160187
SRPT,16.3200,0.680422,0.068812,-0.006555,-0.043883,0.171435,0.230526,0.302335,42858.65,57631.57,75583.71,-0.234162,-0.868260,0.078848,0.122511
VIRT,42.7300,0.360909,0.068586,0.010834,0.036011,0.090334,0.121173,0.158439,22583.55,30293.15,39609.65,0.318316,1.393959,0.317762,0.382508
SIL,116.9900,0.752934,-0.068415,-0.020027,-0.033254,0.188896,0.253569,0.331731,47224.06,63392.27,82932.82,0.409348,3.954588,0.058915,0.032049
UGA,75.7300,0.310237,-0.067808,-0.119909,-0.080329,0.076542,0.102063,0.132341,19135.47,25515.83,33085.14,0.236206,0.129119,0.424064,0.326311
XLRE,43.9200,0.144286,-0.067623,-0.016646,0.052272,0.030641,0.038341,0.045369,7660.17,9585.32,11342.25,0.087667,0.176065,0.405929,0.357578
EAT,142.4100,0.436012,-0.067336,0.016096,0.025791,0.110146,0.148293,0.194877,27536.53,37073.24,48719.31,-0.060124,2.044250,0.292217,0.288535
BILL,44.1900,1.127122,-0.067165,-0.026534,0.027813,0.274557,0.364211,0.468380,68639.28,91052.67,117094.97,-0.125989,-0.325549,0.017990,-0.017990
SOXX,352.0500,0.335270,-0.066712,-0.043113,0.015782,0.083409,0.111606,0.145425,20852.21,27901.42,36356.17,0.122286,0.559060,0.382346,0.347428
URA,56.4500,0.607940,-0.066278,-0.005526,0.011273,0.153673,0.206919,0.271900,38418.36,51729.76,67975.05,0.225575,1.194905,0.162585,0.150043
JACK,15.4200,0.810479,0.064720,0.122408,0.099430,0.202545,0.271467,0.354350,50636.33,67866.73,88587.54,-0.176282,-0.783967,-0.044484,0.060293
PIPR,304.3500,0.532259,0.063795,0.064496,0.096312,0.134776,0.181608,0.238908,33694.02,45402.03,59727.01,-0.130354,0.638754,0.169678,0.260186
NCNO,16.1300,0.647824,-0.063134,0.038554,0.090145,0.163486,0.219983,0.288782,40871.49,54995.65,72195.41,-0.345639,-0.462871,0.116627,0.134656
EQIX,966.1000,0.361823,0.062375,0.068952,0.044836,0.090579,0.121510,0.158896,22644.80,30377.53,39724.01,0.271238,0.104249,0.308982,0.389822
CYBR,408.8500,0.351221,0.062236,0.040773,-0.046558,0.087729,0.117580,0.153562,21932.21,29394.89,38390.53,-0.060806,0.543238,0.330899,0.384938
KRC,29.6700,0.365135,-0.061844,0.003582,0.033851,0.091467,0.122732,0.160551,22866.63,30683.00,40137.78,-0.219621,-0.101162,0.348285,0.345208
IEF,97.1200,0.048596,-0.061016,0.031117,0.012426,0.005863,0.005700,0.004602,1465.71,1424.95,1150.42,0.014122,0.107470,0.399988,0.361300
S,13.1300,0.536565,-0.060922,0.008654,0.118373,0.135862,0.183068,0.240821,33965.38,45766.88,60205.19,-0.103142,-0.515140,0.203677,0.219486
LPLA,306.0000,0.512122,0.058782,0.056511,0.067562,0.129682,0.174750,0.229902,32420.52,43687.40,57475.46,-0.153831,0.152374,0.190700,0.270556
ZS,148.5800,0.717400,-0.057951,-0.023017,0.032428,0.180377,0.242347,0.317453,45094.19,60586.75,79363.35,-0.326382,-0.306414,0.077172,0.067777
SCCO,218.8500,0.670596,-0.056469,-0.079632,-0.050295,0.169045,0.227360,0.298272,42261.31,56840.11,74568.03,0.490786,1.935135,0.129285,0.087102
XLF,51.3000,0.198989,0.055257,0.050159,0.076716,0.045647,0.059020,0.073219,11411.65,14755.04,18304.81,-0.066084,0.308022,0.362116,0.400136
ANF,97.8500,0.414702,-0.054268,-0.021726,-0.012841,0.104586,0.140714,0.184755,26146.49,35178.60,46188.67,-0.209229,-0.287327,0.315351,0.299130
USO,87.1900,0.359518,-0.054181,-0.115947,-0.049940,0.089961,0.120658,0.157741,22490.23,30164.56,39435.33,0.264356,0.178084,0.377183,0.325320
BRZE,18.6250,0.778288,0.053204,0.089480,0.095650,0.194932,0.261497,0.341773,48733.10,65374.13,85443.27,-0.427803,-0.669945,-0.020002,0.072574
AA,64.0800,0.573585,-0.053119,0.007581,0.026983,0.145142,0.195517,0.257085,36285.47,48879.31,64271.29,0.133357,1.380971,0.182297,0.183409
BIRK,42.5200,0.436358,-0.052625,-0.004581,0.045563,0.110236,0.148415,0.195040,27558.98,37103.80,48760.04,0.017955,-0.153662,0.289390,0.290816
